bug_id,feature,severity,status,date_reported,date_resolved,platform,region,assigned_team,bug_type,milestone,priority_level,days_to_resolve
222,Careers,Low,Won't Fix,2024-11-15,2024-12-06,Xbox,Oceania,Graphics,Mods & Custom Content,M2,Medium,21.0
223,Pets,Low,Resolved,2024-11-02,2024-11-07,Pc,Africa,LiveOps,Gameplay,M7,Medium,5.0
224,UI,Low,Resolved,2025-01-16,2025-01-30,Mac,North America,Build Mode,Mods & Custom Content,M3,Low,14.0
225,Pets,Medium,Resolved,2024-05-08,2024-06-07,Pc,North America,Platform,Graphics,M1,Medium,30.0
226,Social Interactions,High,Resolved,2024-11-17,2024-11-27,Mac,North America,UI/UX,Performance,M2,Low,10.0
227,Aspirations,Low,Resolved,2024-10-19,2024-11-15,Xbox,South America,Build Mode,UI,M3,Medium,27.0
228,Create-a-Sim,Low,Investigating,2025-02-24,,Xbox,South America,Graphics,Graphics,M6,Low,
229,Careers,Medium,Resolved,2024-06-14,2024-06-30,Pc,Africa,LiveOps,UI,M2,High,16.0
230,Create-a-Sim,Critical,Resolved,2025-04-04,2025-04-23,Playstation,Africa,LiveOps,Performance,M7,Medium,19.0
231,Aspirations,Critical,Investigating,2024-05-17,,Playstation,Europe,Build Mode,Expansion Pack,M6,High,
232,Live Mode,Medium,Resolved,2024-06-25,2024-07-20,Playstation,North America,UI/UX,Expansion Pack,M2,High,25.0
233,Tutorial,Low,Resolved,2024-11-21,2024-12-16,Playstation,North America,CAS,Mods & Custom Content,M4,Low,25.0
234,Bug Fixes,Medium,Resolved,2024-12-21,2025-01-03,Pc,Africa,CAS,UI,M6,Low,13.0
235,Mods & Custom Content,High,Resolved,2024-07-13,2024-07-26,Playstation,Asia,UI/UX,Gameplay,M1,High,13.0
236,Mods & Custom Content,Low,Resolved,2024-05-31,2024-06-25,Xbox,South America,Platform,Gameplay,M1,Low,25.0
237,Careers,High,Resolved,2025-03-09,2025-03-29,Pc,Asia,Platform,Expansion Pack,M7,Low,20.0
238,UI,Medium,In Progress,2024-07-17,,Mac,Oceania,Platform,Performance,M2,Low,
239,Social Interactions,Low,Resolved,2024-11-21,2024-11-26,Playstation,South America,UI/UX,Network,M3,High,5.0
240,Graphics,Medium,Resolved,2024-11-30,2024-12-16,Mac,Asia,LiveOps,Expansion Pack,M3,High,16.0
241,Careers,Medium,Resolved,2024-09-18,2024-10-16,Mac,Asia,Expansion Pack,UI,M4,Medium,28.0
242,World Map,High,In Progress,2024-11-17,,Xbox,Africa,Build Mode,Network,M4,Low,
