bug_id,feature,severity,status,date_reported,date_resolved,platform,region,assigned_team,bug_type,milestone,priority_level
51,Social Interactions,Medium,Resolved,2024-08-31,2024-09-25,Mac,South America,Build Mode,Audio,M4,Medium
52,Aspirations,High,Resolved,2024-07-03,2024-07-25,Xbox,Europe,LiveOps,Expansion Pack,M5,Medium
53,Aging System,Low,Resolved,2024-07-24,2024-08-14,PlayStation,South America,Expansion Pack,UI,M4,Medium
54,Social Interactions,Low,Resolved,2025-03-26,2025-04-08,PC,South America,LiveOps,Graphics,M3,Low
55,Build Mode,Critical,Resolved,2024-12-11,2025-01-01,Mac,North America,Audio,UI,M2,Medium
56,Audio,High,Resolved,2024-11-26,2024-12-03,Mac,Africa,UI/UX,Performance,M3,Low
57,Aspirations,Low,Resolved,2024-06-19,2024-06-29,Mac,North America,Build Mode,Gameplay,M6,Medium
58,Expansion Pack,High,Investigating,2025-01-09,,PC,Asia,Platform,Network,M1,Medium
59,Pets,Low,Resolved,2024-06-16,2024-07-14,PlayStation,Oceania,Graphics,Performance,M4,Low
60,Occults,High,Resolved,2024-09-03,2024-09-24,Xbox,South America,CAS,Network,M7,Low
61,Aging System,Low,New,2025-04-15,,Xbox,Africa,Platform,Network,M1,Medium
62,Audio,Low,Resolved,2024-12-08,2024-12-24,PlayStation,Africa,LiveOps,UI,M1,Low
63,Pets,Medium,Resolved,2024-11-07,2024-11-25,Xbox,South America,LiveOps,Gameplay,M3,Low
64,Skills,Medium,Resolved,2024-12-24,2025-01-03,PlayStation,South America,Expansion Pack,Network,M6,Medium
65,Graphics,Low,Resolved,2025-02-20,2025-02-28,Mac,Europe,Build Mode,Mods & Custom Content,M3,Medium
66,World Map,Critical,Investigating,2025-01-27,,Mac,Asia,Build Mode,Network,M2,Medium
67,Create-a-Sim,Medium,Resolved,2024-07-10,2024-07-15,Mac,Oceania,Graphics,Gameplay,M7,Low
68,Multiplayer,Critical,Resolved,2024-04-29,2024-05-15,PlayStation,South America,UI/UX,Gameplay,M4,Medium
69,Mods & Custom Content,High,Resolved,2024-08-11,2024-09-02,PlayStation,North America,Build Mode,Gameplay,M5,Medium
70,Seasons,Low,Resolved,2024-07-24,2024-08-19,Xbox,Asia,Platform,Audio,M5,Medium
71,Graphics,Medium,Resolved,2024-07-04,2024-07-28,PlayStation,Oceania,UI/UX,Performance,M2,Low
72,Tutorial,Medium,Resolved,2025-03-29,2025-03-30,PC,Europe,CAS,Audio,M6,High
73,Bug Fixes,Medium,Won't Fix,2025-03-04,2025-03-12,Mac,South America,UI/UX,UI,M6,Low
74,Multiplayer,High,Resolved,2024-08-11,2024-08-16,PlayStation,South America,UI/UX,Mods & Custom Content,M6,Medium
75,Pets,Medium,Resolved,2024-12-13,2024-12-22,PC,South America,Expansion Pack,Audio,M1,Low
76,Bug Fixes,Medium,In Progress,2024-09-09,,PC,Oceania,CAS,Graphics,M7,Medium
77,Audio,Low,Resolved,2025-03-18,2025-04-08,Xbox,Oceania,Graphics,Gameplay,M4,Medium
78,Multiplayer,Low,Resolved,2024-10-02,2024-10-24,Xbox,Asia,Platform,Graphics,M4,Low
79,Aspirations,High,Won't Fix,2024-07-23,2024-07-27,PC,Oceania,Graphics,Expansion Pack,M1,Low
80,Aging System,High,Resolved,2024-07-17,2024-08-11,Mac,Asia,Audio,Audio,M4,High
81,Tutorial,High,Won't Fix,2024-11-09,2024-11-10,Mac,Asia,LiveOps,Expansion Pack,M1,Low
82,Expansion Pack,Medium,New,2024-07-23,,Mac,South America,CAS,Audio,M4,High
83,Occults,Low,New,2024-11-17,,Mac,Africa,Audio,Gameplay,M3,Medium
84,Seasons,Low,New,2025-03-12,,PC,Asia,CAS,Mods & Custom Content,M7,Low
85,Occults,Low,Resolved,2024-09-11,2024-09-23,PlayStation,Europe,Build Mode,Expansion Pack,M2,High
86,Aspirations,Low,Resolved,2024-07-07,2024-07-18,Mac,South America,LiveOps,Performance,M5,High
87,Aging System,Low,Resolved,2025-04-18,2025-04-22,Xbox,North America,Audio,Expansion Pack,M7,Medium
88,Audio,Low,Resolved,2024-10-21,2024-11-06,Xbox,Oceania,UI/UX,Network,M7,Medium
89,Pets,High,Resolved,2024-05-21,2024-06-01,PC,Africa,UI/UX,UI,M6,Medium
90,Social Interactions,Critical,Resolved,2024-05-05,2024-05-13,PC,South America,Audio,Audio,M1,Low
91,Social Interactions,Low,Resolved,2024-05-28,2024-06-07,Xbox,Africa,Audio,Performance,M2,Low
92,UI,Medium,Investigating,2024-12-03,,Mac,Europe,Graphics,Audio,M4,Low
93,World Map,Medium,Resolved,2025-02-01,2025-02-27,Mac,North America,Graphics,Network,M5,Low
94,Aging System,High,Investigating,2024-09-19,,Mac,South America,Graphics,Gameplay,M2,Medium
95,World Map,Low,Won't Fix,2024-05-11,2024-05-21,Xbox,Asia,LiveOps,Graphics,M5,Medium
96,UI,Medium,In Progress,2024-09-04,,PlayStation,Europe,Build Mode,Audio,M6,Medium
97,Expansion Pack,Critical,Resolved,2025-04-17,2025-05-09,PC,Asia,Graphics,Graphics,M5,Medium
98,Social Interactions,Low,Resolved,2024-10-28,2024-11-27,Mac,Africa,Expansion Pack,Audio,M7,Low
99,World Map,High,In Progress,2025-04-08,,PlayStation,North America,Graphics,Gameplay,M2,Medium
100,Aspirations,Critical,Resolved,2025-02-27,2025-03-21,PlayStation,North America,Platform,Graphics,M3,Medium
101,Audio,Medium,Resolved,2024-04-22,2024-05-14,PlayStation,North America,Build Mode,Mods & Custom Content,M1,Medium
102,Tutorial,Low,New,2025-01-06,,PC,Oceania,Graphics,Audio,M6,Medium
103,Pets,Low,Resolved,2024-12-23,2024-12-25,Mac,Africa,Audio,Expansion Pack,M4,Medium
104,Occults,Medium,Investigating,2024-10-31,,Mac,South America,UI/UX,Mods & Custom Content,M5,Medium
105,Skills,Low,New,2024-07-24,,Xbox,Europe,Expansion Pack,Gameplay,M6,Medium
106,Create-a-Sim,Low,Investigating,2024-12-08,,Mac,North America,Graphics,Gameplay,M6,Low
107,Careers,Low,Resolved,2024-05-28,2024-05-29,Mac,Africa,Build Mode,Gameplay,M7,Medium
108,UI,Low,Resolved,2024-09-24,2024-10-01,Mac,Africa,LiveOps,Audio,M7,High
109,Multiplayer,Low,Investigating,2024-10-01,,PC,Europe,LiveOps,Network,M7,Medium
110,Create-a-Sim,Low,Resolved,2025-04-02,2025-04-03,Xbox,Africa,UI/UX,Gameplay,M4,Medium
111,Seasons,Low,Resolved,2025-03-04,2025-03-23,PC,Oceania,CAS,Mods & Custom Content,M6,High
112,Social Interactions,Medium,Resolved,2024-07-23,2024-08-08,Xbox,Oceania,Graphics,Gameplay,M1,Medium
113,Bug Fixes,Medium,Resolved,2024-10-18,2024-10-23,PlayStation,South America,CAS,Mods & Custom Content,M5,Medium
114,Occults,High,Resolved,2024-06-22,2024-07-15,Mac,South America,Graphics,UI,M4,Medium
115,Careers,Medium,Resolved,2025-03-18,2025-04-01,PlayStation,Asia,Audio,Mods & Custom Content,M1,Low
116,Skills,High,Resolved,2025-03-02,2025-03-16,PC,Africa,Expansion Pack,Gameplay,M4,Medium
117,Create-a-Sim,Critical,Resolved,2024-08-05,2024-08-30,PlayStation,Asia,UI/UX,UI,M2,Medium
118,Occults,Low,Resolved,2024-12-07,2024-12-11,PlayStation,Africa,Build Mode,Expansion Pack,M7,Medium
119,Occults,Low,Resolved,2024-11-26,2024-12-16,PlayStation,North America,Audio,Audio,M6,Medium
120,Multiplayer,High,New,2024-06-12,,Xbox,North America,Audio,Graphics,M1,Medium
121,Multiplayer,Low,Resolved,2025-01-22,2025-02-05,PlayStation,Africa,UI/UX,Graphics,M2,Low
122,Aging System,Medium,Resolved,2024-11-01,2024-11-23,Xbox,Africa,Graphics,Expansion Pack,M3,Low
123,World Map,Medium,Resolved,2025-01-27,2025-02-08,Xbox,Africa,CAS,Graphics,M2,Medium
124,Graphics,High,Resolved,2024-10-29,2024-10-30,PlayStation,Asia,Expansion Pack,Gameplay,M1,Medium
125,UI,Medium,Resolved,2024-04-18,2024-04-23,PlayStation,North America,Platform,Graphics,M4,Low
126,Bug Fixes,Medium,In Progress,2024-08-14,,Xbox,Oceania,Platform,Audio,M1,Medium
127,Tutorial,Medium,New,2024-04-25,,PlayStation,North America,Platform,Gameplay,M2,Medium
128,World Map,High,Resolved,2025-03-24,2025-03-27,Mac,Asia,Audio,Gameplay,M5,Medium
129,Skills,Low,Won't Fix,2025-03-05,2025-03-12,Mac,Europe,UI/UX,Performance,M3,Low
130,Live Mode,Low,Resolved,2025-02-16,2025-03-13,Xbox,South America,Graphics,Network,M7,High
131,Aging System,Medium,Resolved,2024-08-08,2024-08-23,PlayStation,Africa,LiveOps,Network,M5,Low
132,World Map,Low,Resolved,2024-05-09,2024-05-11,PC,Africa,Platform,Mods & Custom Content,M5,Medium
133,Bug Fixes,Medium,Resolved,2025-03-05,2025-04-03,PlayStation,Africa,Graphics,Performance,M1,Medium
134,Live Mode,Medium,In Progress,2025-03-30,,Mac,North America,Build Mode,Mods & Custom Content,M4,Medium
135,World Map,Low,Resolved,2024-05-19,2024-05-31,PlayStation,Oceania,LiveOps,Network,M1,Medium
136,Tutorial,High,Resolved,2024-10-12,2024-10-25,PlayStation,North America,Audio,Network,M3,High
137,Live Mode,Low,Resolved,2024-05-13,2024-05-26,Xbox,Oceania,Expansion Pack,Performance,M6,Medium
138,Seasons,Low,In Progress,2025-01-21,,Xbox,Africa,Expansion Pack,Graphics,M3,Medium
139,Pets,Low,New,2025-01-23,,Mac,Europe,UI/UX,Audio,M7,Medium
140,Seasons,Low,Resolved,2024-06-03,2024-06-21,PlayStation,Africa,Audio,Expansion Pack,M2,Low
141,Multiplayer,High,In Progress,2024-10-08,,PC,South America,Expansion Pack,UI,M4,Medium
142,Occults,Low,Resolved,2024-11-05,2024-12-01,Xbox,Europe,Expansion Pack,Mods & Custom Content,M4,Medium
143,Multiplayer,High,Resolved,2024-07-24,2024-08-10,Mac,Asia,LiveOps,Mods & Custom Content,M7,Medium
144,Seasons,High,In Progress,2025-03-03,,PlayStation,North America,Audio,Audio,M4,High
145,UI,High,Resolved,2024-09-19,2024-10-03,PlayStation,North America,Platform,Graphics,M4,Medium
146,Build Mode,Low,Resolved,2024-07-04,2024-07-07,PC,Oceania,Expansion Pack,Performance,M2,Low
147,Mods & Custom Content,High,Investigating,2024-11-01,,Xbox,South America,LiveOps,Gameplay,M1,Low
148,Tutorial,Medium,Investigating,2025-01-10,,PC,Asia,Build Mode,Audio,M1,Low
149,Live Mode,Low,Resolved,2024-06-30,2024-07-26,Xbox,Africa,LiveOps,UI,M6,Low
150,Bug Fixes,Medium,Resolved,2024-08-10,2024-08-30,PC,Africa,Expansion Pack,Gameplay,M5,Medium
151,Aspirations,High,Resolved,2025-04-17,2025-05-04,PC,Oceania,Platform,Network,M3,Medium
152,Expansion Pack,High,Resolved,2024-12-11,2024-12-14,PlayStation,Europe,LiveOps,Network,M5,Medium
153,Aging System,Critical,Resolved,2024-09-25,2024-10-22,Xbox,Oceania,Audio,Performance,M1,Medium
154,Graphics,Low,New,2024-10-24,,Mac,North America,Expansion Pack,Audio,M5,Medium
155,Create-a-Sim,High,Investigating,2024-06-01,,Mac,Asia,Expansion Pack,Graphics,M7,Medium
156,Aspirations,High,Resolved,2024-07-09,2024-08-04,Xbox,Asia,Audio,Mods & Custom Content,M6,Medium
157,Live Mode,High,Investigating,2024-08-19,,PC,South America,Audio,Audio,M3,Low
158,Tutorial,High,Resolved,2024-11-19,2024-11-29,Mac,Oceania,Graphics,Network,M4,Low
159,Social Interactions,Low,New,2024-07-11,,PC,North America,Platform,Network,M5,High
160,Tutorial,Medium,Resolved,2024-07-07,2024-07-08,Xbox,North America,Audio,Gameplay,M2,Medium
161,Create-a-Sim,Medium,Won't Fix,2024-05-13,2024-05-26,Xbox,Asia,Expansion Pack,Mods & Custom Content,M7,Low
162,Audio,Low,Resolved,2024-12-04,2024-12-16,PC,North America,Audio,Mods & Custom Content,M5,Medium
163,Aging System,Low,Resolved,2024-07-10,2024-07-19,PlayStation,Oceania,Graphics,UI,M1,Low
164,Aging System,Critical,Resolved,2025-03-15,2025-03-21,PlayStation,Oceania,Expansion Pack,Gameplay,M5,Medium
165,Multiplayer,High,In Progress,2025-02-26,,Mac,North America,Build Mode,Performance,M2,Medium
166,Aging System,High,Resolved,2024-05-13,2024-05-31,Mac,Africa,UI/UX,Gameplay,M3,Medium
167,Social Interactions,High,Resolved,2024-07-14,2024-07-30,PC,Europe,Expansion Pack,Gameplay,M4,Medium
168,Occults,Medium,Resolved,2024-12-18,2024-12-23,Mac,Europe,Platform,Graphics,M7,Low
169,UI,Low,Resolved,2024-07-05,2024-07-11,PlayStation,North America,CAS,UI,M6,High
170,Occults,Low,Resolved,2024-06-05,2024-06-26,Mac,Africa,Audio,Performance,M6,Medium
171,Bug Fixes,Low,New,2025-03-26,,PC,North America,LiveOps,Audio,M6,Low
172,Pets,High,Resolved,2024-11-13,2024-12-03,PlayStation,Oceania,CAS,Mods & Custom Content,M2,High
173,Create-a-Sim,Low,Resolved,2024-10-07,2024-10-17,Xbox,South America,Graphics,UI,M3,Medium
174,Skills,Critical,Resolved,2025-01-30,2025-02-22,Mac,Asia,UI/UX,Network,M2,Medium
175,Create-a-Sim,Low,Resolved,2025-02-07,2025-02-15,Xbox,Africa,Platform,UI,M7,High
176,Careers,Low,In Progress,2024-06-26,,Mac,South America,Graphics,Mods & Custom Content,M3,Medium
177,UI,Low,Resolved,2024-05-23,2024-06-05,PlayStation,North America,LiveOps,Audio,M4,Medium
178,World Map,Medium,Investigating,2024-09-22,,PC,South America,Audio,Audio,M6,Medium
179,Bug Fixes,Medium,Resolved,2024-09-20,2024-09-22,PlayStation,Africa,CAS,Gameplay,M4,Medium
180,Tutorial,Medium,Resolved,2024-10-05,2024-10-14,PC,Europe,UI/UX,Expansion Pack,M3,Medium
181,Graphics,Medium,Resolved,2025-01-09,2025-01-21,Xbox,Africa,LiveOps,Graphics,M1,Low
182,Mods & Custom Content,Medium,Resolved,2024-12-20,2025-01-05,Mac,Asia,Expansion Pack,Performance,M4,High
183,Seasons,High,Resolved,2025-04-13,2025-04-23,Xbox,Oceania,CAS,Mods & Custom Content,M7,Low
184,Bug Fixes,Low,Won't Fix,2024-05-24,2024-05-28,PC,Africa,Graphics,Audio,M6,Medium
185,Create-a-Sim,Medium,Resolved,2024-09-12,2024-10-01,Mac,Africa,Platform,Performance,M7,Medium
186,Build Mode,Medium,Resolved,2024-08-20,2024-09-12,Xbox,Europe,Platform,UI,M4,Medium
187,Create-a-Sim,High,Resolved,2025-02-27,2025-03-15,Mac,Africa,Expansion Pack,Mods & Custom Content,M5,Medium
188,Occults,Low,Investigating,2024-07-18,,PlayStation,Oceania,CAS,Mods & Custom Content,M2,High
189,World Map,High,Resolved,2024-06-26,2024-07-06,Mac,Oceania,Graphics,Network,M4,Medium
190,Audio,Low,In Progress,2024-09-29,,Xbox,South America,Expansion Pack,Performance,M3,Low
191,Aging System,Medium,New,2024-09-19,,Xbox,Europe,Build Mode,Audio,M5,Medium
192,UI,Low,Resolved,2024-07-28,2024-08-17,Mac,Oceania,Build Mode,Graphics,M1,Medium
193,Mods & Custom Content,Low,Resolved,2024-07-18,2024-07-22,Mac,South America,Graphics,Mods & Custom Content,M6,Low
194,Create-a-Sim,Critical,New,2025-03-21,,PC,Oceania,Build Mode,Graphics,M2,Medium
195,Create-a-Sim,Critical,In Progress,2024-09-27,,Xbox,South America,Audio,Audio,M1,Low
196,Careers,Low,Won't Fix,2025-02-27,2025-03-03,Xbox,Europe,Graphics,Audio,M2,High
197,Audio,High,Resolved,2024-11-05,2024-11-29,PC,Oceania,Expansion Pack,Audio,M5,Medium
198,Aspirations,High,Resolved,2024-05-06,2024-05-26,PlayStation,North America,Platform,Gameplay,M2,High
199,Audio,Low,Resolved,2025-04-18,2025-05-18,Xbox,Asia,Expansion Pack,Audio,M5,Medium
200,UI,Low,Resolved,2025-02-17,2025-03-10,PC,South America,CAS,Performance,M4,Medium
201,World Map,Medium,In Progress,2025-04-07,,PlayStation,Asia,Build Mode,UI,M2,Medium
202,Occults,Critical,Resolved,2025-03-23,2025-04-12,Mac,Europe,UI/UX,Mods & Custom Content,M5,Medium
203,Occults,Critical,Resolved,2025-02-22,2025-03-13,Mac,Africa,Audio,Performance,M3,High
204,Bug Fixes,Medium,Resolved,2024-06-17,2024-07-09,Xbox,North America,Graphics,Performance,M5,Medium
205,World Map,High,Resolved,2024-10-12,2024-10-30,Xbox,Asia,LiveOps,UI,M5,Low
206,Create-a-Sim,Critical,Resolved,2024-07-05,2024-07-28,PC,South America,LiveOps,Audio,M4,Low
207,Social Interactions,Low,Won't Fix,2024-09-11,2024-10-02,Xbox,South America,Platform,Expansion Pack,M1,Medium
208,Skills,Low,Resolved,2024-05-09,2024-05-27,Xbox,Africa,Audio,UI,M7,Low
209,Occults,Medium,Resolved,2024-09-03,2024-09-13,Xbox,Europe,Build Mode,Mods & Custom Content,M3,Low
210,Expansion Pack,Low,Resolved,2025-04-13,2025-05-12,Xbox,Africa,LiveOps,UI,M2,Low
211,Create-a-Sim,Low,Resolved,2024-07-24,2024-08-08,PC,South America,Graphics,UI,M5,Low
212,Seasons,Critical,New,2025-01-29,,Mac,Oceania,Expansion Pack,Network,M2,Medium
213,Social Interactions,Low,Resolved,2024-10-01,2024-10-23,PC,Africa,Audio,Expansion Pack,M5,Medium
214,Aspirations,High,In Progress,2024-09-19,,PlayStation,Oceania,Platform,Expansion Pack,M2,Low
215,UI,Low,Resolved,2025-04-03,2025-04-21,Mac,South America,LiveOps,Expansion Pack,M4,Medium
216,Careers,Medium,Resolved,2025-04-17,2025-04-25,Xbox,Asia,UI/UX,UI,M1,Low
217,Live Mode,Low,Resolved,2024-11-07,2024-11-27,Mac,South America,Build Mode,Network,M3,High
218,Expansion Pack,High,Resolved,2025-01-05,2025-02-04,Xbox,Europe,Build Mode,Expansion Pack,M2,Medium
219,Skills,Low,Resolved,2024-06-13,2024-06-26,PlayStation,Africa,Graphics,Mods & Custom Content,M1,High
220,Graphics,Low,Resolved,2024-08-04,2024-08-29,Xbox,North America,Build Mode,Performance,M1,Low
221,Social Interactions,Low,Investigating,2025-04-07,,Mac,Asia,Build Mode,Expansion Pack,M5,High
222,Careers,Low,Won't Fix,2024-11-15,2024-12-06,Xbox,Oceania,Graphics,Mods & Custom Content,M2,Medium
223,Pets,Low,Resolved,2024-11-02,2024-11-07,PC,Africa,LiveOps,Gameplay,M7,Medium
224,UI,Low,Resolved,2025-01-16,2025-01-30,Mac,North America,Build Mode,Mods & Custom Content,M3,Low
225,Pets,Medium,Resolved,2024-05-08,2024-06-07,PC,North America,Platform,Graphics,M1,Medium
226,Social Interactions,High,Resolved,2024-11-17,2024-11-27,Mac,North America,UI/UX,Performance,M2,Low
227,Aspirations,Low,Resolved,2024-10-19,2024-11-15,Xbox,South America,Build Mode,UI,M3,Medium
228,Create-a-Sim,Low,Investigating,2025-02-24,,Xbox,South America,Graphics,Graphics,M6,Low
229,Careers,Medium,Resolved,2024-06-14,2024-06-30,PC,Africa,LiveOps,UI,M2,High
230,Create-a-Sim,Critical,Resolved,2025-04-04,2025-04-23,PlayStation,Africa,LiveOps,Performance,M7,Medium
231,Aspirations,Critical,Investigating,2024-05-17,,PlayStation,Europe,Build Mode,Expansion Pack,M6,High
232,Live Mode,Medium,Resolved,2024-06-25,2024-07-20,PlayStation,North America,UI/UX,Expansion Pack,M2,High
233,Tutorial,Low,Resolved,2024-11-21,2024-12-16,PlayStation,North America,CAS,Mods & Custom Content,M4,Low
234,Bug Fixes,Medium,Resolved,2024-12-21,2025-01-03,PC,Africa,CAS,UI,M6,Low
235,Mods & Custom Content,High,Resolved,2024-07-13,2024-07-26,PlayStation,Asia,UI/UX,Gameplay,M1,High
236,Mods & Custom Content,Low,Resolved,2024-05-31,2024-06-25,Xbox,South America,Platform,Gameplay,M1,Low
237,Careers,High,Resolved,2025-03-09,2025-03-29,PC,Asia,Platform,Expansion Pack,M7,Low
238,UI,Medium,In Progress,2024-07-17,,Mac,Oceania,Platform,Performance,M2,Low
239,Social Interactions,Low,Resolved,2024-11-21,2024-11-26,PlayStation,South America,UI/UX,Network,M3,High
240,Graphics,Medium,Resolved,2024-11-30,2024-12-16,Mac,Asia,LiveOps,Expansion Pack,M3,High
241,Careers,Medium,Resolved,2024-09-18,2024-10-16,Mac,Asia,Expansion Pack,UI,M4,Medium
242,World Map,High,In Progress,2024-11-17,,Xbox,Africa,Build Mode,Network,M4,Low
243,Bug Fixes,Low,Resolved,2024-10-26,2024-11-07,Mac,Oceania,LiveOps,Mods & Custom Content,M6,Low
244,Social Interactions,Medium,Resolved,2025-03-26,2025-04-22,Mac,Oceania,CAS,UI,M3,Medium
245,Aging System,Critical,Resolved,2024-07-01,2024-07-27,Xbox,Africa,Platform,Expansion Pack,M5,Low
246,Occults,Medium,In Progress,2025-01-05,,PC,North America,Build Mode,Network,M2,Medium
247,Aspirations,Critical,Resolved,2024-07-14,2024-08-04,PlayStation,South America,UI/UX,Graphics,M1,Low
248,Bug Fixes,Low,Resolved,2024-09-09,2024-09-26,PlayStation,South America,Graphics,Performance,M3,High
249,Live Mode,Low,Resolved,2024-12-19,2024-12-29,Mac,Asia,CAS,Network,M4,Medium
250,Aging System,High,Resolved,2024-08-05,2024-08-17,Xbox,Asia,UI/UX,Audio,M1,High
251,Expansion Pack,Medium,Resolved,2024-08-11,2024-09-08,Mac,Oceania,Build Mode,Performance,M5,Low
252,Aspirations,Medium,Resolved,2025-01-18,2025-02-02,Mac,Oceania,Platform,Expansion Pack,M1,Medium
253,Social Interactions,Low,Investigating,2024-05-14,,Mac,Europe,CAS,Gameplay,M5,Low
254,Careers,Low,New,2024-10-02,,PC,Asia,Graphics,Network,M5,Medium
255,Aging System,Medium,Resolved,2025-04-18,2025-04-22,PlayStation,Africa,UI/UX,Performance,M3,Low
256,Mods & Custom Content,Medium,Resolved,2025-04-17,2025-04-23,Xbox,Africa,Audio,Expansion Pack,M4,Low
257,Multiplayer,Medium,Won't Fix,2024-05-14,2024-06-06,Xbox,Asia,Audio,Performance,M3,High
